iteration,id,x,y,radius,dx,dy
0,0,33.3626,15.4066,0.44,2.36262,4.40659
0,1,22.3977,40.2371,1.07,8.39767,3.23715
0,2,19.0903,30.4509,1.05,6.09028,3.45086
0,3,15.3046,28.9948,1.43,0.304587,8.99484
0,4,45.8275,49.9135,0.68,0.82755,3.91346
0,5,25.4516,44.855,1.34,5.45156,5.85495
0,6,53.8901,13.1431,1.01,5.8901,1.14314
0,7,1.92299,49.3848,1.47,0.922993,0.384817
0,8,28.6112,24.7202,0.74,3.61122,1.72021
0,9,20.8005,36.9184,0.36,5.80051,3.91843
0,10,47.0763,38.4755,0.22,6.07629,3.47545
0,11,49.0402,13.9999,0.26,0.0402005,7.9999
0,12,14.961,18.7892,1.32,7.96098,0.789192
0,13,5.5632,9.91906,0.99,0.563203,1.91906
0,14,49.0512,35.9987,1.15,0.0512148,0.998688
0,15,19.9865,39.248,0.99,1.98655,2.24803
0,16,7.81048,32.4989,0.11,5.81048,5.49894
0,17,6.89617,44.788,0.27,0.896167,1.78798
0,18,48.7245,27.2558,1.28,2.72453,1.25576
0,19,35.3661,46.4607,0.81,1.3661,1.46074
1,0,35.7252,19.8132,0.44,2.36262,4.40659
1,1,30.7953,43.4743,1.07,8.39767,3.23715
1,2,25.1806,33.9017,1.05,6.09028,3.45086
1,3,15.6092,37.9897,1.43,0.304587,8.99484
1,4,46.6551,53.8269,0.68,0.82755,3.91346
1,5,30.9031,50.7099,1.34,5.45156,5.85495
1,6,59.7802,14.2863,1.01,5.8901,1.14314
1,7,2.84599,49.7696,1.47,0.922993,0.384817
1,8,32.2224,26.4404,0.74,3.61122,1.72021
1,9,26.601,40.8369,0.36,5.80051,3.91843
1,10,53.1526,41.9509,0.22,6.07629,3.47545
1,11,49.0804,21.9998,0.26,0.0402005,7.9999
1,12,22.922,19.5784,1.32,7.96098,0.789192
1,13,6.12641,11.8381,0.99,0.563203,1.91906
1,14,49.1024,36.9974,1.15,0.0512148,0.998688
1,15,21.9731,41.4961,0.99,1.98655,2.24803
1,16,13.621,37.9979,0.11,5.81048,5.49894
1,17,7.79233,46.576,0.27,0.896167,1.78798
1,18,51.4491,28.5115,1.28,2.72453,1.25576
1,19,36.7322,47.9215,0.81,1.3661,1.46074
2,0,38.0879,24.2198,0.44,2.36262,4.40659
2,1,39.193,46.7114,1.07,8.39767,3.23715
2,2,31.2708,37.3526,1.05,6.09028,3.45086
2,3,15.9138,46.9845,1.43,0.304587,8.99484
2,4,47.4826,57.7404,0.68,0.82755,3.91346
2,5,36.3547,56.5649,1.34,5.45156,5.85495
2,6,65.6703,15.4294,1.01,5.8901,1.14314
2,7,3.76898,50.1544,1.47,0.922993,0.384817
2,8,35.8337,28.1606,0.74,3.61122,1.72021
2,9,32.4015,44.7553,0.36,5.80051,3.91843
2,10,59.2289,45.4264,0.22,6.07629,3.47545
2,11,49.1206,29.9997,0.26,0.0402005,7.9999
2,12,30.8829,20.3676,1.32,7.96098,0.789192
2,13,6.68961,13.7572,0.99,0.563203,1.91906
2,14,49.1536,37.9961,1.15,0.0512148,0.998688
2,15,23.9596,43.7441,0.99,1.98655,2.24803
2,16,19.4314,43.4968,0.11,5.81048,5.49894
2,17,8.6885,48.3639,0.27,0.896167,1.78798
2,18,54.1736,29.7673,1.28,2.72453,1.25576
2,19,38.0983,49.3822,0.81,1.3661,1.46074
3,0,40.4505,28.6264,0.44,2.36262,4.40659
3,1,47.5907,49.9486,1.07,8.39767,3.23715
3,2,37.3611,40.8035,1.05,6.09028,3.45086
3,3,16.2183,55.9794,1.43,0.304587,8.99484
3,4,48.3102,61.6538,0.68,0.82755,3.91346
3,5,41.8062,62.4198,1.34,5.45156,5.85495
3,6,71.5604,16.5726,1.01,5.8901,1.14314
3,7,4.69197,50.5393,1.47,0.922993,0.384817
3,8,39.4449,29.8808,0.74,3.61122,1.72021
3,9,38.1363,49.1229,0.36,0.131984,-0.901383
3,10,65.3051,48.9018,0.22,6.07629,3.47545
3,11,47.9039,37.3785,0.26,0.140114,0.0692349
3,12,38.8439,21.1568,1.32,7.96098,0.789192
3,13,7.25281,15.6763,0.99,0.563203,1.91906
3,14,43.9948,35.4469,1.15,-6.41577,-3.17024
3,15,25.9462,45.9921,0.99,1.98655,2.24803
3,16,25.2419,48.9958,0.11,5.81048,5.49894
3,17,9.58467,50.1519,0.27,0.896167,1.78798
3,18,56.8981,31.0231,1.28,2.72453,1.25576
3,19,37.3077,54.7817,0.81,-0.856376,5.84863
4,0,42.8131,33.033,0.44,2.36262,4.40659
4,1,55.9884,53.1857,1.07,8.39767,3.23715
4,2,43.4514,44.2543,1.05,6.09028,3.45086
4,3,16.5229,64.9742,1.43,0.304587,8.99484
4,4,49.1377,65.5673,0.68,0.82755,3.91346
4,5,47.2578,68.2748,1.34,5.45156,5.85495
4,6,77.4505,17.7157,1.01,5.8901,1.14314
4,7,5.61496,50.9241,1.47,0.922993,0.384817
4,8,43.0561,31.601,0.74,3.61122,1.72021
4,9,38.2683,48.2215,0.36,0.131984,-0.901383
4,10,71.3814,52.3773,0.22,6.07629,3.47545
4,11,48.044,37.4477,0.26,0.140114,0.0692349
4,12,46.8049,21.946,1.32,7.96098,0.789192
4,13,7.81602,17.5953,0.99,0.563203,1.91906
4,14,37.5791,32.2767,1.15,-6.41577,-3.17024
4,15,27.9327,48.2401,0.99,1.98655,2.24803
4,16,31.0524,54.4947,0.11,5.81048,5.49894
4,17,10.4808,51.9399,0.27,0.896167,1.78798
4,18,59.6226,32.2788,1.28,2.72453,1.25576
4,19,36.4513,60.6303,0.81,-0.856376,5.84863
5,0,45.1757,37.4395,0.44,2.36262,4.40659
5,1,64.386,56.4229,1.07,8.39767,3.23715
5,2,49.5417,47.7052,1.05,6.09028,3.45086
5,3,16.8275,73.9691,1.43,0.304587,8.99484
5,4,49.9653,69.4808,0.68,0.82755,3.91346
5,5,52.7094,74.1297,1.34,5.45156,5.85495
5,6,83.3406,18.8589,1.01,5.8901,1.14314
5,7,6.53796,51.3089,1.47,0.922993,0.384817
5,8,46.6673,33.3212,0.74,3.61122,1.72021
5,9,38.4002,47.3201,0.36,0.131984,-0.901383
5,10,77.4577,55.8527,0.22,6.07629,3.47545
5,11,48.1841,37.517,0.26,0.140114,0.0692349
5,12,54.7659,22.7352,1.32,7.96098,0.789192
5,13,8.37922,19.5144,0.99,0.563203,1.91906
5,14,31.1633,29.1065,1.15,-6.41577,-3.17024
5,15,29.9193,50.4882,0.99,1.98655,2.24803
5,16,36.775,60.1296,0.11,-3.78859,5.86113
5,17,11.377,53.7279,0.27,0.896167,1.78798
5,18,62.3472,33.5346,1.28,2.72453,1.25576
5,19,41.4618,52.8789,0.81,4.92262,-7.61553
6,0,47.5383,41.8461,0.44,2.36262,4.40659
6,1,72.7837,59.66,1.07,8.39767,3.23715
6,2,55.632,51.156,1.05,6.09028,3.45086
6,3,17.1321,82.9639,1.43,0.304587,8.99484
6,4,50.7928,73.3942,0.68,0.82755,3.91346
6,5,58.1609,79.9847,1.34,5.45156,5.85495
6,6,89.2307,20.002,1.01,5.8901,1.14314
6,7,7.46095,51.6937,1.47,0.922993,0.384817
6,8,50.2785,35.0415,0.74,3.61122,1.72021
